concert_time,Applause_N,Event,Actor,Event_Type,Montage_time,Stream_time,Stream_since,Stream_Time_old,early_concert_time,old_concert_time,Concert_audi0_time
-695.2,1,Analysis,Montage,seg,0,1294,,,,-692.4,
-692.2,1,Enter hall,Musicians,Stage_act,3,1297,3,945.9,-688.5,-689.4,
-691.2,1,Clapping Start,Audience,First_Clap,4,1298,1,946,-688.4,-688.4,-691.2
-681.2,1,Bow,Musicians,Stage_act,14,1308,10,,,-678.4,
-677.2,1,Vn toward mic,Musicians,Stage_act,18,1312,4,961,-673.4,-674.4,
-677.2,1,Sit,Musicians,Stage_act,18,1312,0,,,-674.4,
-674.1,1,Clapping End,Audience,Last_Clap,20,1314,2,963.1,-671.3,-672.4,-674.1
-673.1,1,At microphone,Musicians,Stage_act,21,1315,1,,,-671.4,
-673.1,1,Start to speak,Musicians,Stage_act,22,1316,1,,,-670.4,-673.1
-559.1,2,Analysis,Montage,seg,25,1430,114,,,-556.4,
-556.1,2,Last word Vn,Musicians,Stage_act,27,1432,2,1081,-553.4,-554.4,-556.1
-555.9,2,Clapping Start,Audience,First_Clap,28,1433,1,1081.2,-553.2,-553.4,-555.9
-552.9,2,MC towards mic,MC,Stage_act,31,1436,3,1084.1,-550.3,-550.4,
-551.9,2,MC at Mic,MC,Stage_act,32,1437,1,,,-549.4,
-550.6,2,MC starts talking,MC,Stage_act,34,1439,2,1087.1,-547.3,-547.4,-550.6
-548.6,2,Clapping End,Audience,Last_Clap,35,1440,1,1087.1,-547.3,-546.4,-548.6
29.6,3,Analysis,Montage,seg,41,2018,578,,,31.6,29.6
30.6,3,Clapping Start,Audience,First_Clap,43,2020,2,1668.3,33.9,33.6,30.6
31.0,3,Last word MC,MC,Stage_act,43,2020,0,1668.3,33.9,33.6,31.0
38,3,Vn pick up instrument,Musicians,Stage_act,50,2027,7,1675,40.6,40.6,
40.1,3,Clapping End,Audience,Last_Clap,52,2029,2,1677.7,43.3,42.6,40.1
1607.1,4,Analysis,Montage,seg,57,3596,1567,,,1609.6,
1607.6,4,Last Note,Music,Stage_act,58,3597,1,3244.8,1610.4,1610.6,1607.6
1608.6,4,Silence,Music,Stage_act,59,3598,1,3246.1,1611.7,1611.6,
1609.6,4,Release instruments,Musicians,Stage_act,60,3599,1,3247,1612.6,1612.6,
1610.6,4,Clapping Start,Audience,First_Clap,61,3600,1,3247.8,1613.4,1613.6,1610.6
1610.6,4,Standing,Musicians,Stage_act,61,3600,0,3248,1613.6,1613.6,
1615.6,4,Bow,Musicians,Stage_act,66,3605,5,,,1618.6,
1623.6,4,Bow,Musicians,Stage_act,74,3613,8,,,1626.6,
1626.6,4,Start to leave,Musicians,Stage_act,77,3616,3,3264,1629.6,1629.6,
1629.6,4,Claps in synch,Audience,Audience_sync,80,3619,3,3267,1632.6,1632.6,
1638.6,4,Off stage,Musicians,Stage_act,89,3628,9,,,1641.6,
1642.2,4,MC talking,MC,Stage_act,92,3631,3,3279.4,1645,1644.6,1642.2
1652.1,4,Clapping End,Audience,Last_Clap,102,3641,10,3289.1,1654.7,1654.6,1652.1
2001.1,5,Analysis,Montage,seg,107,3990,349,,,2003.6,
2004.8,5,Clapping Start,Audience,First_Clap,113,3996,6,3641.9,2007.5,2009.6,2004.8
2004.8,5,Enter hall,Musicians,Stage_act,113,3996,0,3641.9,2007.5,2009.6,
2010.8,5,Bow,Musicians,Stage_act,119,4002,6,,,2015.6,
2012.8,5,Begin to sit,Musicians,Stage_act,121,4004,2,3651,2016.6,2017.6,
2016.1,5,Clapping End,Audience,Last_Clap,123,4006,2,3653.7,2019.3,2019.6,2016.1
3261.1,6,Analysis,Montage,seg,127,5251,1245,,,3264.6,
3266.9,6,Silence,Music,Stage_act,134,5258,7,4908.3,3273.9,3271.6,3266.9
3278.9,6,Release instruments,Musicians,Stage_act,146,5270,12,4918,3283.6,3283.6, 
3282.6,6,Clapping Start,Audience,First_Clap,148,5272,2,4919.8,3285.4,3285.6,3282.6
3284.6,6,Stand,Musicians,Stage_act,150,5274,2,,,3287.6,
3294.6,6,Bow,Musicians,Stage_act,160,5284,10,,,3297.6,
3299.6,6,Start to leave,Musicians,Stage_act,165,5289,5,4936,3301.6,3302.6,
3304.6,6,Claps in synch,Audience,Audience_sync,170,5294,5,4941.8,3307.4,3307.6,
3308.6,6,Off stage,Musicians,Stage_act,174,5298,4,4948,3313.6,3311.6,
3319.6,6,Claps in synch,Audience,Audience_sync,185,5309,11, ,3321.6,3322.6,
3319.6,6,Enter hall,Musicians,Stage_act,185,5309,0,4957,3322.6,3322.6,
3327.6,6,Bow,Musicians,Stage_act,193,5317,8,,,3330.6,
3333.6,6,Bow,Musicians,Stage_act,199,5323,6,,,3336.6,
3336.6,6,Start to leave,Musicians,Stage_act,202,5326,3,4972,3337.6,3339.6,
3342.7,6,Clapping End,Audience,Last_Clap,208,5332,6,4980.2,3345.8,3345.6,3342.7
3342.7,6,Off stage,Musicians,Stage_act,208,5332,0,4980,3345.6,3345.6,
3342.7,6,MC towards mic,MC,Stage_act,208,5332,0,,,3345.6,
3344.7,6,MC at mic,MC,Stage_act,210,5334,2,,,3347.6,
5000.7,7,Analysis,Montage,seg,212,6990,1656,,,5003.6,
5001.92,7,Clapping Start,Audience,First_Clap,214,6992,2,6639.1,5004.7,5005.6,5001.92
5001.92,7,Enter hall,Musicians,Stage_act,214,6992,0,6639,5004.6,5005.6,
5009.92,7,Bow,Musicians,Stage_act,222,7000,8,,,5013.6,
5014.92,7,Start to sit,Musicians,Stage_act,227,7005,5,6654,5019.6,5018.6,
5019.5,7,Clapping End,Audience,Last_Clap,230,7008,3,6656.8,5022.4,5021.6,5019.5
5019.9,7,MC talking,MC,Stage_act,231,7009,1,,,5022.6,5019.9
6006.9,8,Analysis,Montage,seg,237,7996,987,,,6009.6,
6010.9,8,Last note,Music,Stage_act,241,8000,4,7648.2,6013.8,6013.6,6010.9
6012.2,8,Silence,Music,Stage_act,243,8002,2,7649.6,6015.2,6015.6,6012.2
6017.2,8,Release instruments,Musicians,Stage_act,248,8007,5,7655,6020.6,6020.6,
6020.1,8,Clapping Start,Audience,First_Clap,250,8009,2,7656.9,6022.5,6022.6,6020.1
6020.1,8,Start to stand,Musicians,Stage_act,250,8009,0,7656,6021.6,6022.6,
6026.1,8,Bow,Musicians,Stage_act,256,8015,6, ,,6028.6,
6033.1,8,Start to sit,Musicians,Stage_act,263,8022,7,7670,6035.6,6035.6,
6037.1,8,MC towards mic,Musicians,Stage_act,267,8026,4,7674.3,6039.9,6039.6,
6041.1,8,MC at mic,MC,Stage_act,271,8030,4,,,6043.6,
6042.1,8,Clapping End,Audience,Last_Clap,272,8031,1,7679,6044.6,6044.6,
6041.1,8,MC talking,MC,Stage_act,272,8031,0,7678.3,6043.9,6044.6,6041.1
6041.5,9,Analysis,Montage,seg,273,8741,710,,,6754.6,6041.5
6756.9,9,Last note,Music,Stage_act,278,8746,5,8394.1,6759.7,6759.6,6756.9
6759.1,9,Clapping Start,Audience,First_Clap,280,8748,2,8396.3,6761.9,6761.6,6759.1
6759.1,9,Release instruments,Musicians,Stage_act,280,8748,0,8396,6761.6,6761.6,
6760.1,9,Start to stand,Musicians,Stage_act,281,8749,1,,,6762.6,
6763.1,9,Bow,Musicians,Stage_act,284,8752,3,,,6765.6,
6767.1,9,Start to sit,Musicians,Stage_act,288,8756,4,8407,6772.6,6769.6,
6774.1,9,Vn ready to play,Musicians,Stage_act,295,8763,7,8410,6775.6,6776.6,
6776.2,9,Clapping End,Audience,Last_Clap,297,8765,2,8413.8,6779.4,6778.6,6776.2
6776.7,9,Vnplays,Musicians,Stage_act,298,8766,1,8414,6779.6,6779.6,6776.7
6928.7,10,Analysis,Montage,seg,303,8918,152,,,6931.6,
6931.9,10,Last note,Music,Stage_act,306,8921,3,8569.1,6934.7,6934.6,6931.9
6933.4,10,Clapping Start,Audience,First_Clap,307,8922,1,8570.5,6936.1,6935.6,6933.4
6933.4,10,Start to stand,Musicians,Stage_act,307,8922,0,8570,6935.6,6935.6,
6937.4,10,Bow,Musicians,Stage_act,311,8926,4,,,6939.6,
6940.4,10,Three start to sit,Musicians,Stage_act,314,8929,3,8579,6944.6,6942.6,
6940.4,10,Vn towards mic,Musicians,Stage_act,314,8929,0,,,6942.6,
6946.4,10,Vn at mic,Musicians,Stage_act,320,8935,6,,,6948.6,
6947.4,10,Vn says Takk,Musicians,Stage_act,321,8936,1,8586,6951.6,6949.6,
6952.6,10,Clapping End,Audience,Last_Clap,327,8942,6,8590.1,6955.7,6955.6,6952.6
6952.9,10,Vn speaks,Musicians,Stage_act,327,8942,0,8590.1,6955.7,6955.6,6952.9
7164.9,11,Analysis,Montage,seg,329,9154,212,,,7167.6,
7168.5,11,Last note,Music,Stage_act,332,9157,3,8805.7,7171.3,7170.6,7168.5
7170.3,11,Clapping Start,Audience,First_Clap,334,9159,2,8807.1,7172.7,7172.6,7170.3
7170.3,11,Start to stand,Musicians,Stage_act,334,9159,0,8806,7171.6,7172.6,
7175.3,11,Bow,Musicians,Stage_act,339,9164,5,,,7177.6,
7179.3,11,Three seated,Musicians,Stage_act,343,9168,4,8818,7183.6,7181.6,
7182.3,11,Vn towards mic,Musicians,Stage_act,346,9171,3,8820,7185.6,7184.6,
7188.3,11,Vn at mic,Musicians,Stage_act,352,9177,6,,,7190.6,
7189.0,11,Clapping End,Audience,Last_Clap,353,9178,1,8826.5,7192.1,7191.6,7189.0
7190.1,11,Vn begins to speak,Musicians,Stage_act,354,9179,1,8827.3,7192.9,7192.6,7190.1
7520.1,12,Analysis,Montage,seg,355,9509,330,,,7522.6,
7522.0,12,Last note,Music,Stage_act,358,9512,3,9159.2,7524.8,7525.6,7522.0
7527.6,12,Silence,Music,Stage_act,365,9519,7,9164.7,7530.3,7532.6,7527.6
7532.6,12,Release instruments,Musicians,Stage_act,370,9524,5,9174,7539.6,7537.6,
7537.4,12,Clapping Start,Audience,First_Clap,373,9527,3,9174.6,7540.2,7540.6,7537.4
7538.4,12,All standing,Musicians,Stage_act,374,9528,1,9178,7543.6,7541.6,
7543.4,12,Bow,Musicians,Stage_act,379,9533,5,,,7546.6,
7544.4,12,Start to sit,Musicians,Stage_act,380,9534,1,,,7547.6,
7549.4,12,Vn toward mic,Musicians,Stage_act,385,9539,5,9186,7552.6,7552.6,
7553.0,12,Clapping End,Audience,Last_Clap,388,9542,3,9190.4,7556,7555.6,7553.0
7553,12,Vn at mic,Musicians,Stage_act,388,9542,0,,,7555.6,
7553.8,12,Vn speaks,Musicians,Stage_act,389,9543,1,9191.3,7556.9,7556.6,7553.8
7741.8,13,Analysis,Montage,seg,390,9731,188,,,7744.6,
7743.0,13,Last note,Music,Stage_act,390,9731,0,9381.1,7746.7,7744.6,7743.0
7744.6,13,Silence,Music,Stage_act,393,9734,3,,,7747.6,7744.6
7747.6,13,Release instruments,Musicians,Stage_act,396,9737,3,9385,7750.6,7750.6,
7748.7,13,Clapping Start,Audience,First_Clap,397,9738,1,9385.5,7751.1,7751.6,7748.7
7748.7,13,Start to stand,Musicians,Stage_act,397,9738,0,,,7751.6,
7752.7,13,Bow,Musicians,Stage_act,401,9742,4,,,7755.6,
7756.7,13,Vn toward mic,Musicians,Stage_act,405,9746,4,9394,7759.6,7759.6,
7756.7,13,Start to sit,Musicians,Stage_act,405,9746,0,,,7759.6,
7759.7,13,Vn at mic,Musicians,Stage_act,408,9749,3,,,7762.6,
7761.7,13,Clapping End,Audience,Last_Clap,410,9751,2,9399.1,7764.7,7764.6,7761.7
7762.9,13,Vnbegins to speak,Musicians,Stage_act,411,9752,1,9400.1,7765.7,7765.6,7762.9
7763.9,14,Analysis,Montage,seg,412,9753,1,,,7766.6,
7769.5,14,Last word Vn,Musicians,Stage_act,419,9760,7,9407.1,7772.7,7773.6,7769.5
7770.5,14,Vn Step away,Musicians,Stage_act,420,9761,1,9407.7,7773.3,7774.6,
7772.5,14,MC towards mic,MC,Stage_act,422,9763,2,,,7776.6,
7771.3,14,Clapping Start,Audience,First_Clap,423,9764,1,9408.8,7774.4,7777.6,7771.31
7775.5,14,MC talking,MC,Stage_act,426,9767,3,9412.6,7778.2,7780.6,7775.5
7776.1,14,Clapping End,Audience,Last_Clap,427,9768,1,9413.8,7779.4,7781.6,7776.1
8034.1,15,Analysis,Montage,seg,432,10026,258,,,8039.6,
8041.3,15,Last note,Music,Stage_act,437,10031,5,9678.5,8044.1,8044.6,8041.3
8042.6,15,Clapping Start,Audience,First_Clap,438,10032,1,9679.5,8045.1,8045.6,8042.6
8042.6,15,Start to stand,Musicians,Stage_act,438,10032,0,,,8045.6,
8043.6,15,All standing,Musicians,Stage_act,439,10033,1,9680,8045.6,8046.6,
8046.6,15,Bow 1,Musicians,Stage_act,442,10036,3,9684,8049.6,8049.6,
8053.6,15,Bow 2,Musicians,Stage_act,449,10043,7,9691,8056.6,8056.6,
8059.6,15,Turn to de-equip,Musicians,Stage_act,455,10049,6,,,8062.6,
8061.6,15,Claps synching,Audience,Audience_sync,458,10052,3,9697.7,8063.3,8065.6,8061.6
8061.6,15,De-equiping,Musicians,Stage_act,458,10052,0,,,8065.6,
8065.8,15,Claps in synch,Audience,Audience_sync,462,10056,4,9701.3,8066.9,8069.6,8065.8
8074.8,15,Bow 3,Musicians,Stage_act,471,10065,9,9713,8078.6,8078.6,
8084.8,15,Bow 4,Musicians,Stage_act,481,10075,10,9723,8088.6,8088.6,
8087.8,15,Start to leave,Musicians,Stage_act,484,10078,3,9726,8091.6,8091.6,
8097.8,15,Off stage,Musicians,Stage_act,494,10088,10,9733,8098.6,8101.6,
8109.8,15,Enter hall,Musicians,Stage_act,506,10100,12,9750,8115.6,8113.6,
8118.8,15,Bow 5,Musicians,Stage_act,515,10109,9,9757,8122.6,8122.6,
8128.8,15,Bring up MC,MC,Stage_act,525,10119,10,,,8132.6,
8135.8,15,Bow 6,Musicians,Stage_act,532,10126,7,9774,8139.6,8139.6,
8138.8,15,Start to leave,Musicians,Stage_act,535,10129,3,9776,8141.6,8142.6,
8144.8,15,Out of sight,Musicians,Stage_act,541,10135,6,9783,8148.6,8148.6,
8149.5,15,Clapping End,Audience,Last_Clap,545,10139,4,9786.5,8152.06,8152.6,8149.5